title,year,duration,genre,rating,rating_count,release_date,movie_url
Modern Times ,1936,1h 27min,Comedy,8.5,"184,238","25 February 1936 (USA)
",http://web.archive.org/web/20190118190934/https://www.imdb.com/title/tt0027977/?ref_=adv_li_tt
City Lights ,1931,1h 27min,Comedy,8.5,"141,897","7 March 1931 (USA)
",http://web.archive.org/web/20190118191025/https://www.imdb.com/title/tt0021749/?ref_=adv_li_tt
,,,,,,,http://web.archive.org/web/20220505224410/https://www.imdb.com/title/tt7286456/?ref_=adv_li_tt
,,,,,,,http://web.archive.org/web/20211016112814/https://www.imdb.com/title/tt8503618/?ref_=adv_li_tt
The Green Mile ,1999,3h 9min,Crime,8.6,"1,102,984","10 December 1999 (USA)
",http://web.archive.org/web/20200714044804/https://www.imdb.com/title/tt0120689/
Spirited Away ,2001,2h 5min,Animation,8.6,"619,407","28 March 2003 (USA)
",http://web.archive.org/web/20200714045337/https://www.imdb.com/title/tt0245429/
Saving Private Ryan ,1998,2h 49min,Drama,8.6,"1,195,231","24 July 1998 (USA)
",http://web.archive.org/web/20200714052455/https://www.imdb.com/title/tt0120815/
,,,,,,,http://web.archive.org/web/20210920140047/https://www.imdb.com/title/tt0034583/?ref_=adv_li_tt
City of God ,2002,2h 10min,Crime,8.6,"682,365","13 February 2004 (USA)
",http://web.archive.org/web/20200714035551/https://www.imdb.com/title/tt0317248/
Interstellar ,2014,2h 49min,Adventure,8.6,"1,432,474","7 November 2014 (USA)
",http://web.archive.org/web/20200714070245/https://www.imdb.com/title/tt0816692/
Parasite ,2019,2h 12min,Comedy,8.6,"445,524","8 November 2019 (USA)
",http://web.archive.org/web/20200714020315/https://www.imdb.com/title/tt6751668/
Harakiri ,1962,2h 13min,Action,8.7,"35,859","4 August 1964 (USA)
",http://web.archive.org/web/20200716172056/https://www.imdb.com/title/tt0056058/
Goodfellas ,1990,2h 26min,Biography,8.7,"983,717","21 September 1990 (USA)
",http://web.archive.org/web/20200714135956/https://www.imdb.com/title/tt0099685/
One Flew Over the Cuckoo's Nest ,1975,2h 13min,Drama,8.7,"885,418","19 November 1975 (USA)
",http://web.archive.org/web/20200714035649/https://www.imdb.com/title/tt0073486/
Star Wars: Episode V - The Empire Strikes Back ,1980,2h 4min,Action,8.7,"1,125,597","20 June 1980 (USA)
",http://web.archive.org/web/20200714105828/https://www.imdb.com/title/tt0080684/
The Matrix ,1999,2h 16min,Action,8.7,"1,621,179","31 March 1999 (USA)
",http://web.archive.org/web/20200714233133/https://www.imdb.com/title/tt0133093/
Forrest Gump ,1994,2h 22min,Drama,8.8,"1,742,896","6 July 1994 (USA)
",http://web.archive.org/web/20200715142550/https://www.imdb.com/title/tt0109830/
Inception ,2010,2h 28min,Action,8.8,"1,984,304","16 July 2010 (USA)
",http://web.archive.org/web/20200716171027/https://www.imdb.com/title/tt1375666/
12 Angry Men ,1957,1h 36min,Crime,8.9,"662,382","10 April 1957 (USA)
",http://web.archive.org/web/20200714005450/https://www.imdb.com/title/tt0050083/
Fight Club ,1999,2h 19min,Drama,8.8,"1,795,785","15 October 1999 (Canada)
",http://web.archive.org/web/20200714080106/https://www.imdb.com/title/tt0137523/
The Lord of the Rings: The Fellowship of the Ring ,2001,2h 58min,Action,8.8,"1,610,315","19 December 2001 (USA)
",http://web.archive.org/web/20200714041023/https://www.imdb.com/title/tt0120737/
Schindler's List ,1993,3h 15min,Biography,8.9,"1,174,498","4 February 1994 (USA)
",http://web.archive.org/web/20200714062836/https://www.imdb.com/title/tt0108052/
Pulp Fiction ,1994,2h 34min,Crime,8.9,"1,768,734","14 October 1994 (USA)
",http://web.archive.org/web/20200714035314/https://www.imdb.com/title/tt0110912/
"Il buono, il brutto, il cattivo ",1966,2h 41min,Western,8.8,"667,726","23 December 1966 (Italy)
",http://web.archive.org/web/20200715115111/https://www.imdb.com/title/tt0060196/
The Lord of the Rings: The Two Towers ,2002,2h 59min,Adventure,8.7,"1,441,367","18 December 2002 (Canada)
",http://web.archive.org/web/20200715072821/https://www.imdb.com/title/tt0167261/
The Godfather: Part II ,1974,3h 22min,Crime,9.0,"1,090,227","18 December 1974 (USA)
",http://web.archive.org/web/20200714052747/https://www.imdb.com/title/tt0071562/
The Lord of the Rings: The Return of the King ,2003,3h 21min,Adventure,8.9,"1,594,932","17 December 2003 (USA)
",http://web.archive.org/web/20200714041137/https://www.imdb.com/title/tt0167260/
The Godfather ,1972,2h 55min,Crime,9.2,"1,559,975","24 March 1972 (USA)
",http://web.archive.org/web/20200714035749/https://www.imdb.com/title/tt0068646/
The Dark Knight ,2008,2h 32min,Action,9.0,"2,226,746","18 July 2008 (USA)
",http://web.archive.org/web/20200716170540/https://www.imdb.com/title/tt0468569/
